,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
32568,Djibouti,DJI,2020-03-18,0.998,0.998,,,,,,,,22.22,1002197.0,25.4,2705.406,1.4,0.524
32569,Djibouti,DJI,2020-03-19,0.998,0.0,,,,,,,,33.33,1002197.0,25.4,2705.406,1.4,0.524
32570,Djibouti,DJI,2020-03-20,0.998,0.0,,,,,,,,33.33,1002197.0,25.4,2705.406,1.4,0.524
32571,Djibouti,DJI,2020-03-21,0.998,0.0,,,,,,,,33.33,1002197.0,25.4,2705.406,1.4,0.524
32572,Djibouti,DJI,2020-03-22,0.998,0.0,,,,,,,,46.3,1002197.0,25.4,2705.406,1.4,0.524
32573,Djibouti,DJI,2020-03-23,2.9930000000000003,1.996,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32574,Djibouti,DJI,2020-03-24,2.9930000000000003,0.0,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32575,Djibouti,DJI,2020-03-25,10.975999999999999,7.982,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32576,Djibouti,DJI,2020-03-26,10.975999999999999,0.0,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32577,Djibouti,DJI,2020-03-27,11.974,0.998,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32578,Djibouti,DJI,2020-03-28,13.969000000000001,1.996,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32579,Djibouti,DJI,2020-03-29,17.961,3.991,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32580,Djibouti,DJI,2020-03-30,17.961,0.0,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32581,Djibouti,DJI,2020-03-31,29.934,11.974,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32582,Djibouti,DJI,2020-04-01,32.928000000000004,2.9930000000000003,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32583,Djibouti,DJI,2020-04-02,39.912,6.985,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32584,Djibouti,DJI,2020-04-03,48.893,8.98,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32585,Djibouti,DJI,2020-04-04,49.89,0.998,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32586,Djibouti,DJI,2020-04-05,58.871,8.98,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32587,Djibouti,DJI,2020-04-06,89.803,30.932,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32588,Djibouti,DJI,2020-04-07,89.803,0.0,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32589,Djibouti,DJI,2020-04-08,134.704,44.901,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32590,Djibouti,DJI,2020-04-09,134.704,0.0,,,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32591,Djibouti,DJI,2020-04-10,149.671,14.967,0.998,0.998,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32592,Djibouti,DJI,2020-04-11,186.59,36.919000000000004,1.996,0.998,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32593,Djibouti,DJI,2020-04-12,213.53099999999998,26.941,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32594,Djibouti,DJI,2020-04-13,297.347,83.816,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32595,Djibouti,DJI,2020-04-14,362.204,64.858,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32596,Djibouti,DJI,2020-04-15,434.046,71.842,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32597,Djibouti,DJI,2020-04-16,589.7040000000001,155.658,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32598,Djibouti,DJI,2020-04-17,730.395,140.691,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32599,Djibouti,DJI,2020-04-18,730.395,0.0,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32600,Djibouti,DJI,2020-04-19,844.145,113.75,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32601,Djibouti,DJI,2020-04-20,844.145,0.0,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32602,Djibouti,DJI,2020-04-21,942.928,98.78299999999999,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32603,Djibouti,DJI,2020-04-22,971.865,28.936,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32604,Djibouti,DJI,2020-04-23,983.8389999999999,11.974,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32605,Djibouti,DJI,2020-04-24,996.81,12.972000000000001,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32606,Djibouti,DJI,2020-04-25,1005.79,8.98,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32607,Djibouti,DJI,2020-04-26,1020.757,14.967,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32608,Djibouti,DJI,2020-04-27,1032.731,11.974,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32609,Djibouti,DJI,2020-04-28,1069.65,36.919000000000004,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32610,Djibouti,DJI,2020-04-29,1074.639,4.989,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32611,Djibouti,DJI,2020-04-30,1086.613,11.974,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32612,Djibouti,DJI,2020-05-01,1094.595,7.982,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32613,Djibouti,DJI,2020-05-02,1109.562,14.967,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32614,Djibouti,DJI,2020-05-03,1109.562,0.0,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32615,Djibouti,DJI,2020-05-04,1113.5539999999999,3.991,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32616,Djibouti,DJI,2020-05-05,1117.545,3.991,1.996,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32617,Djibouti,DJI,2020-05-06,1121.536,3.991,2.9930000000000003,0.998,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32618,Djibouti,DJI,2020-05-07,1130.516,8.98,2.9930000000000003,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32619,Djibouti,DJI,2020-05-08,1132.512,1.996,2.9930000000000003,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32620,Djibouti,DJI,2020-05-09,1186.393,53.882,2.9930000000000003,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32621,Djibouti,DJI,2020-05-10,1207.347,20.954,2.9930000000000003,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32622,Djibouti,DJI,2020-05-11,1224.31,16.963,2.9930000000000003,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32623,Djibouti,DJI,2020-05-12,1253.247,28.936,2.9930000000000003,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32624,Djibouti,DJI,2020-05-13,1265.22,11.974,2.9930000000000003,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32625,Djibouti,DJI,2020-05-14,1281.185,15.965,2.9930000000000003,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32626,Djibouti,DJI,2020-05-15,1306.13,24.945,3.991,0.998,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32627,Djibouti,DJI,2020-05-16,1328.082,21.951999999999998,3.991,0.0,,,,,,94.44,1002197.0,25.4,2705.406,1.4,0.524
32628,Djibouti,DJI,2020-05-17,1397.9289999999999,69.847,3.991,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32629,Djibouti,DJI,2020-05-18,1514.672,116.744,6.985,2.9930000000000003,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32630,Djibouti,DJI,2020-05-19,1614.453,99.781,6.985,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32631,Djibouti,DJI,2020-05-20,1823.993,209.54,8.98,1.996,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32632,Djibouti,DJI,2020-05-21,2042.513,218.52,9.978,0.998,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32633,Djibouti,DJI,2020-05-22,2265.024,222.511,9.978,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32634,Djibouti,DJI,2020-05-23,2265.024,0.0,9.978,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32635,Djibouti,DJI,2020-05-24,2265.024,0.0,9.978,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32636,Djibouti,DJI,2020-05-25,2462.59,197.56599999999997,13.969000000000001,3.991,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32637,Djibouti,DJI,2020-05-26,2462.59,0.0,13.969000000000001,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32638,Djibouti,DJI,2020-05-27,2691.0879999999997,228.498,17.961,3.991,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32639,Djibouti,DJI,2020-05-28,2907.612,216.524,19.956,1.996,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32640,Djibouti,DJI,2020-05-29,2907.612,0.0,19.956,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32641,Djibouti,DJI,2020-05-30,3186.998,279.38599999999997,21.951999999999998,1.996,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32642,Djibouti,DJI,2020-05-31,3346.647,159.649,23.947,1.996,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32643,Djibouti,DJI,2020-06-01,3561.176,214.52900000000002,23.947,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32644,Djibouti,DJI,2020-06-02,3770.716,209.54,24.945,0.998,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32645,Djibouti,DJI,2020-06-03,3926.3740000000003,155.658,25.943,0.998,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32646,Djibouti,DJI,2020-06-04,4045.113,118.73899999999999,25.943,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32647,Djibouti,DJI,2020-06-05,4113.962,68.84899999999999,25.943,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32648,Djibouti,DJI,2020-06-06,4159.861,45.898999999999994,25.943,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32649,Djibouti,DJI,2020-06-07,4197.777,37.917,27.939,1.996,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32650,Djibouti,DJI,2020-06-08,4268.622,70.844,30.932,2.9930000000000003,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32651,Djibouti,DJI,2020-06-09,4321.505999999999,52.88399999999999,33.925,2.9930000000000003,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32652,Djibouti,DJI,2020-06-10,4363.414000000001,41.908,33.925,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32653,Djibouti,DJI,2020-06-11,4388.359,24.945,36.919000000000004,2.9930000000000003,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32654,Djibouti,DJI,2020-06-12,4431.265,42.906000000000006,37.917,0.998,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32655,Djibouti,DJI,2020-06-13,4439.247,7.982,40.91,2.9930000000000003,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32656,Djibouti,DJI,2020-06-14,4455.212,15.965,42.906000000000006,1.996,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32657,Djibouti,DJI,2020-06-15,4491.133,35.921,42.906000000000006,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32658,Djibouti,DJI,2020-06-16,4529.05,37.917,42.906000000000006,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32659,Djibouti,DJI,2020-06-17,4535.037,5.987,42.906000000000006,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32660,Djibouti,DJI,2020-06-18,4547.01,11.974,42.906000000000006,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32661,Djibouti,DJI,2020-06-19,4554.9929999999995,7.982,44.901,1.996,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32662,Djibouti,DJI,2020-06-20,4554.9929999999995,0.0,44.901,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32663,Djibouti,DJI,2020-06-21,4571.955,16.963,44.901,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32664,Djibouti,DJI,2020-06-22,4588.918,16.963,47.895,2.9930000000000003,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32665,Djibouti,DJI,2020-06-23,4606.879,17.961,48.893,0.998,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32666,Djibouti,DJI,2020-06-24,4619.85,12.972000000000001,51.886,2.9930000000000003,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32667,Djibouti,DJI,2020-06-25,4624.839,4.989,51.886,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32668,Djibouti,DJI,2020-06-26,4632.822,7.982,51.886,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32669,Djibouti,DJI,2020-06-27,4632.822,0.0,51.886,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32670,Djibouti,DJI,2020-06-28,4632.822,0.0,51.886,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32671,Djibouti,DJI,2020-06-29,4645.793,12.972000000000001,52.88399999999999,0.998,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32672,Djibouti,DJI,2020-06-30,4671.736,25.943,53.882,0.998,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32673,Djibouti,DJI,2020-07-01,4693.688,21.951999999999998,54.879,0.998,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32674,Djibouti,DJI,2020-07-02,4704.664000000001,10.975999999999999,54.879,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32675,Djibouti,DJI,2020-07-03,4725.6179999999995,20.954,54.879,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32676,Djibouti,DJI,2020-07-04,4725.6179999999995,0.0,54.879,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32677,Djibouti,DJI,2020-07-05,4781.495,55.876999999999995,54.879,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32678,Djibouti,DJI,2020-07-06,4811.429,29.934,54.879,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32679,Djibouti,DJI,2020-07-07,4867.307,55.876999999999995,54.879,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32680,Djibouti,DJI,2020-07-08,4878.282,10.975999999999999,54.879,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32681,Djibouti,DJI,2020-07-09,4944.138,65.855,55.876999999999995,0.998,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32682,Djibouti,DJI,2020-07-10,4957.109,12.972000000000001,55.876999999999995,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32683,Djibouti,DJI,2020-07-11,4957.109,0.0,55.876999999999995,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32684,Djibouti,DJI,2020-07-12,4961.1,3.991,55.876999999999995,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32685,Djibouti,DJI,2020-07-13,4966.09,4.989,55.876999999999995,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32686,Djibouti,DJI,2020-07-14,4968.085,1.996,55.876999999999995,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32687,Djibouti,DJI,2020-07-15,4974.072,5.987,55.876999999999995,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32688,Djibouti,DJI,2020-07-16,4982.054,7.982,55.876999999999995,0.0,,,,,,59.26,1002197.0,25.4,2705.406,1.4,0.524
32689,Djibouti,DJI,2020-07-17,4992.032999999999,9.978,55.876999999999995,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32690,Djibouti,DJI,2020-07-18,4992.032999999999,0.0,55.876999999999995,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32691,Djibouti,DJI,2020-07-19,5000.015,7.982,55.876999999999995,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32692,Djibouti,DJI,2020-07-20,5008.995,8.98,55.876999999999995,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32693,Djibouti,DJI,2020-07-21,5015.98,6.985,55.876999999999995,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32694,Djibouti,DJI,2020-07-22,5018.973,2.9930000000000003,57.873000000000005,1.996,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32695,Djibouti,DJI,2020-07-23,5019.971,0.998,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32696,Djibouti,DJI,2020-07-24,5027.954000000001,7.982,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32697,Djibouti,DJI,2020-07-25,5027.954000000001,0.0,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32698,Djibouti,DJI,2020-07-26,5038.929,10.975999999999999,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32699,Djibouti,DJI,2020-07-27,5047.91,8.98,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32700,Djibouti,DJI,2020-07-28,5056.89,8.98,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32701,Djibouti,DJI,2020-07-29,5069.862,12.972000000000001,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32702,Djibouti,DJI,2020-07-30,5069.862,0.0,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32703,Djibouti,DJI,2020-07-31,5072.855,2.9930000000000003,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32704,Djibouti,DJI,2020-08-01,5072.855,0.0,57.873000000000005,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32705,Djibouti,DJI,2020-08-02,5149.686,76.831,58.871,0.998,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32706,Djibouti,DJI,2020-08-03,5228.513,78.827,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32707,Djibouti,DJI,2020-08-04,5236.495,7.982,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32708,Djibouti,DJI,2020-08-05,5318.316,81.82,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32709,Djibouti,DJI,2020-08-06,5318.316,0.0,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32710,Djibouti,DJI,2020-08-07,5326.298000000001,7.982,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32711,Djibouti,DJI,2020-08-08,5326.298000000001,0.0,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32712,Djibouti,DJI,2020-08-09,5332.285,5.987,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32713,Djibouti,DJI,2020-08-10,5335.278,2.9930000000000003,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32714,Djibouti,DJI,2020-08-11,5336.276,0.998,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32715,Djibouti,DJI,2020-08-12,5346.254,9.978,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32716,Djibouti,DJI,2020-08-13,5346.254,0.0,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32717,Djibouti,DJI,2020-08-14,5355.235,8.98,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32718,Djibouti,DJI,2020-08-15,5355.235,0.0,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32719,Djibouti,DJI,2020-08-16,5357.23,1.996,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32720,Djibouti,DJI,2020-08-17,5360.224,2.9930000000000003,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32721,Djibouti,DJI,2020-08-18,5362.219,1.996,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32722,Djibouti,DJI,2020-08-19,5362.219,0.0,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32723,Djibouti,DJI,2020-08-20,5362.219,0.0,58.871,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32724,Djibouti,DJI,2020-08-21,5370.201999999999,7.982,59.868,0.998,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32725,Djibouti,DJI,2020-08-22,5370.201999999999,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32726,Djibouti,DJI,2020-08-23,5370.201999999999,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32727,Djibouti,DJI,2020-08-24,5371.1990000000005,0.998,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32728,Djibouti,DJI,2020-08-25,5371.1990000000005,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32729,Djibouti,DJI,2020-08-26,5371.1990000000005,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32730,Djibouti,DJI,2020-08-27,5371.1990000000005,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32731,Djibouti,DJI,2020-08-28,5371.1990000000005,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32732,Djibouti,DJI,2020-08-29,5373.195,1.996,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32733,Djibouti,DJI,2020-08-30,5373.195,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32734,Djibouti,DJI,2020-08-31,5375.191,1.996,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32735,Djibouti,DJI,2020-09-01,5375.191,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32736,Djibouti,DJI,2020-09-02,5375.191,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32737,Djibouti,DJI,2020-09-03,5375.191,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32738,Djibouti,DJI,2020-09-04,5375.191,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32739,Djibouti,DJI,2020-09-05,5375.191,0.0,59.868,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32740,Djibouti,DJI,2020-09-06,5376.189,0.998,60.86600000000001,0.998,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32741,Djibouti,DJI,2020-09-07,5376.189,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32742,Djibouti,DJI,2020-09-08,5376.189,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32743,Djibouti,DJI,2020-09-09,5379.182,2.9930000000000003,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32744,Djibouti,DJI,2020-09-10,5382.175,2.9930000000000003,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32745,Djibouti,DJI,2020-09-11,5382.175,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32746,Djibouti,DJI,2020-09-12,5382.175,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32747,Djibouti,DJI,2020-09-13,5383.173000000001,0.998,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32748,Djibouti,DJI,2020-09-14,5384.170999999999,0.998,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32749,Djibouti,DJI,2020-09-15,5384.170999999999,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32750,Djibouti,DJI,2020-09-16,5387.164000000001,2.9930000000000003,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32751,Djibouti,DJI,2020-09-17,5387.164000000001,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32752,Djibouti,DJI,2020-09-18,5391.156,3.991,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32753,Djibouti,DJI,2020-09-19,5391.156,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32754,Djibouti,DJI,2020-09-20,5391.156,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32755,Djibouti,DJI,2020-09-21,5392.153,0.998,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32756,Djibouti,DJI,2020-09-22,5395.147,2.9930000000000003,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32757,Djibouti,DJI,2020-09-23,5395.147,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32758,Djibouti,DJI,2020-09-24,5395.147,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32759,Djibouti,DJI,2020-09-25,5397.142,1.996,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32760,Djibouti,DJI,2020-09-26,5397.142,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
32761,Djibouti,DJI,2020-09-27,5397.142,0.0,60.86600000000001,0.0,,,,,,50.93,1002197.0,25.4,2705.406,1.4,0.524
