,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
8807,Bahamas,BHS,2020-03-16,2.519,2.519,,,,,,,,22.22,396914.0,34.3,27717.847,2.9,0.8140000000000001
8808,Bahamas,BHS,2020-03-17,2.519,0.0,,,,,,,,22.22,396914.0,34.3,27717.847,2.9,0.8140000000000001
8809,Bahamas,BHS,2020-03-18,2.519,0.0,,,,,,,,22.22,396914.0,34.3,27717.847,2.9,0.8140000000000001
8810,Bahamas,BHS,2020-03-19,7.558,5.039,,,,,,,,22.22,396914.0,34.3,27717.847,2.9,0.8140000000000001
8811,Bahamas,BHS,2020-03-20,7.558,0.0,,,,,,,,74.07,396914.0,34.3,27717.847,2.9,0.8140000000000001
8812,Bahamas,BHS,2020-03-21,10.078,2.519,,,,,,,,74.07,396914.0,34.3,27717.847,2.9,0.8140000000000001
8813,Bahamas,BHS,2020-03-22,10.078,0.0,,,,,,,,74.07,396914.0,34.3,27717.847,2.9,0.8140000000000001
8814,Bahamas,BHS,2020-03-23,10.078,0.0,,,,,,,,74.07,396914.0,34.3,27717.847,2.9,0.8140000000000001
8815,Bahamas,BHS,2020-03-24,12.597000000000001,2.519,,,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8816,Bahamas,BHS,2020-03-25,12.597000000000001,0.0,,,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8817,Bahamas,BHS,2020-03-26,22.675,10.078,,,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8818,Bahamas,BHS,2020-03-27,25.194000000000003,2.519,,,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8819,Bahamas,BHS,2020-03-28,25.194000000000003,0.0,,,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8820,Bahamas,BHS,2020-03-29,27.714000000000002,2.519,,,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8821,Bahamas,BHS,2020-03-30,35.272,7.558,,,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8822,Bahamas,BHS,2020-03-31,35.272,0.0,,,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8823,Bahamas,BHS,2020-04-01,52.908,17.636,2.519,2.519,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8824,Bahamas,BHS,2020-04-02,60.466,7.558,2.519,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8825,Bahamas,BHS,2020-04-03,60.466,0.0,2.519,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8826,Bahamas,BHS,2020-04-04,70.544,10.078,10.078,7.558,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8827,Bahamas,BHS,2020-04-05,70.544,0.0,10.078,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8828,Bahamas,BHS,2020-04-06,73.064,2.519,12.597000000000001,2.519,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8829,Bahamas,BHS,2020-04-07,83.141,10.078,15.117,2.519,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8830,Bahamas,BHS,2020-04-08,100.777,17.636,17.636,2.519,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8831,Bahamas,BHS,2020-04-09,103.29700000000001,2.519,20.155,2.519,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8832,Bahamas,BHS,2020-04-10,105.816,2.519,20.155,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8833,Bahamas,BHS,2020-04-11,115.89399999999999,10.078,20.155,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8834,Bahamas,BHS,2020-04-12,115.89399999999999,0.0,20.155,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8835,Bahamas,BHS,2020-04-13,118.414,2.519,20.155,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8836,Bahamas,BHS,2020-04-14,123.45200000000001,5.039,20.155,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8837,Bahamas,BHS,2020-04-15,123.45200000000001,0.0,20.155,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8838,Bahamas,BHS,2020-04-16,133.53,10.078,20.155,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8839,Bahamas,BHS,2020-04-17,136.05,2.519,22.675,2.519,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8840,Bahamas,BHS,2020-04-18,138.569,2.519,22.675,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8841,Bahamas,BHS,2020-04-19,138.569,0.0,22.675,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8842,Bahamas,BHS,2020-04-20,151.166,12.597000000000001,22.675,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8843,Bahamas,BHS,2020-04-21,163.763,12.597000000000001,22.675,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8844,Bahamas,BHS,2020-04-22,163.763,0.0,22.675,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8845,Bahamas,BHS,2020-04-23,181.399,17.636,27.714000000000002,5.039,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8846,Bahamas,BHS,2020-04-24,183.919,2.519,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8847,Bahamas,BHS,2020-04-25,196.516,12.597000000000001,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8848,Bahamas,BHS,2020-04-26,201.555,5.039,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8849,Bahamas,BHS,2020-04-27,201.555,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8850,Bahamas,BHS,2020-04-28,201.555,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8851,Bahamas,BHS,2020-04-29,201.555,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8852,Bahamas,BHS,2020-04-30,204.074,2.519,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8853,Bahamas,BHS,2020-05-01,204.074,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8854,Bahamas,BHS,2020-05-02,209.113,5.039,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8855,Bahamas,BHS,2020-05-03,209.113,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8856,Bahamas,BHS,2020-05-04,209.113,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8857,Bahamas,BHS,2020-05-05,224.23,15.117,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8858,Bahamas,BHS,2020-05-06,231.78799999999998,7.558,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8859,Bahamas,BHS,2020-05-07,231.78799999999998,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8860,Bahamas,BHS,2020-05-08,231.78799999999998,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8861,Bahamas,BHS,2020-05-09,231.78799999999998,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8862,Bahamas,BHS,2020-05-10,231.78799999999998,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8863,Bahamas,BHS,2020-05-11,234.308,2.519,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8864,Bahamas,BHS,2020-05-12,234.308,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8865,Bahamas,BHS,2020-05-13,236.827,2.519,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8866,Bahamas,BHS,2020-05-14,241.86599999999999,5.039,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8867,Bahamas,BHS,2020-05-15,241.86599999999999,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8868,Bahamas,BHS,2020-05-16,241.86599999999999,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8869,Bahamas,BHS,2020-05-17,241.86599999999999,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8870,Bahamas,BHS,2020-05-18,241.86599999999999,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8871,Bahamas,BHS,2020-05-19,241.86599999999999,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8872,Bahamas,BHS,2020-05-20,244.385,2.519,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8873,Bahamas,BHS,2020-05-21,244.385,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8874,Bahamas,BHS,2020-05-22,244.385,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8875,Bahamas,BHS,2020-05-23,251.94400000000002,7.558,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8876,Bahamas,BHS,2020-05-24,251.94400000000002,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8877,Bahamas,BHS,2020-05-25,251.94400000000002,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
8878,Bahamas,BHS,2020-05-26,251.94400000000002,0.0,27.714000000000002,0.0,,,,,,96.3,396914.0,34.3,27717.847,2.9,0.8140000000000001
