,location,iso_code,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters,stringency_index,population,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index
62466,Kazakhstan,KAZ,2020-03-13,0.21100000000000002,0.21100000000000002,,,,,,,,22.22,18994958.0,30.6,24055.588,6.7,0.825
62467,Kazakhstan,KAZ,2020-03-14,0.316,0.105,,,,,,,,22.22,18994958.0,30.6,24055.588,6.7,0.825
62468,Kazakhstan,KAZ,2020-03-15,0.474,0.158,,,,,,,,22.22,18994958.0,30.6,24055.588,6.7,0.825
62469,Kazakhstan,KAZ,2020-03-16,0.526,0.053,,,,,,,,47.22,18994958.0,30.6,24055.588,6.7,0.825
62470,Kazakhstan,KAZ,2020-03-17,1.7369999999999999,1.2109999999999999,,,,,,,,47.22,18994958.0,30.6,24055.588,6.7,0.825
62471,Kazakhstan,KAZ,2020-03-18,1.8430000000000002,0.105,,,,,,,,55.56,18994958.0,30.6,24055.588,6.7,0.825
62472,Kazakhstan,KAZ,2020-03-19,2.316,0.474,,,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62473,Kazakhstan,KAZ,2020-03-20,2.58,0.263,,,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62474,Kazakhstan,KAZ,2020-03-21,2.79,0.21100000000000002,,,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62475,Kazakhstan,KAZ,2020-03-22,3.2110000000000003,0.42100000000000004,,,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62476,Kazakhstan,KAZ,2020-03-23,3.264,0.053,,,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62477,Kazakhstan,KAZ,2020-03-24,3.79,0.526,,,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62478,Kazakhstan,KAZ,2020-03-25,4.263999999999999,0.474,,,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62479,Kazakhstan,KAZ,2020-03-26,5.843999999999999,1.579,,,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62480,Kazakhstan,KAZ,2020-03-27,7.897,2.053,0.053,0.053,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62481,Kazakhstan,KAZ,2020-03-28,12.003,4.106,0.053,0.0,,,,,,80.09,18994958.0,30.6,24055.588,6.7,0.825
62482,Kazakhstan,KAZ,2020-03-29,14.950999999999999,2.948,0.053,0.0,,,,,,82.87,18994958.0,30.6,24055.588,6.7,0.825
62483,Kazakhstan,KAZ,2020-03-30,15.899000000000001,0.948,0.053,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62484,Kazakhstan,KAZ,2020-03-31,18.057000000000002,2.158,0.105,0.053,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62485,Kazakhstan,KAZ,2020-04-01,20.005,1.9480000000000002,0.158,0.053,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62486,Kazakhstan,KAZ,2020-04-02,22.901,2.8960000000000004,0.158,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62487,Kazakhstan,KAZ,2020-04-03,24.428,1.527,0.158,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62488,Kazakhstan,KAZ,2020-04-04,27.955,3.5269999999999997,0.263,0.105,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62489,Kazakhstan,KAZ,2020-04-05,30.745,2.79,0.263,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62490,Kazakhstan,KAZ,2020-04-06,34.851,4.106,0.316,0.053,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62491,Kazakhstan,KAZ,2020-04-07,36.694,1.8430000000000002,0.316,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62492,Kazakhstan,KAZ,2020-04-08,38.273,1.579,0.369,0.053,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62493,Kazakhstan,KAZ,2020-04-09,41.11600000000001,2.843,0.474,0.105,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62494,Kazakhstan,KAZ,2020-04-10,42.748000000000005,1.632,0.526,0.053,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62495,Kazakhstan,KAZ,2020-04-11,45.538000000000004,2.79,0.526,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62496,Kazakhstan,KAZ,2020-04-12,50.066,4.5280000000000005,0.632,0.105,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62497,Kazakhstan,KAZ,2020-04-13,57.43600000000001,7.37,0.632,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62498,Kazakhstan,KAZ,2020-04-14,64.859,7.422999999999999,0.632,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62499,Kazakhstan,KAZ,2020-04-15,68.176,3.3169999999999997,0.8420000000000001,0.21100000000000002,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62500,Kazakhstan,KAZ,2020-04-16,73.809,5.632999999999999,0.8420000000000001,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62501,Kazakhstan,KAZ,2020-04-17,81.39,7.581,0.895,0.053,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62502,Kazakhstan,KAZ,2020-04-18,85.023,3.633,1.0,0.105,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62503,Kazakhstan,KAZ,2020-04-19,88.234,3.2110000000000003,1.0,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62504,Kazakhstan,KAZ,2020-04-20,97.5,9.266,1.0,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62505,Kazakhstan,KAZ,2020-04-21,105.02799999999999,7.528,1.0,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62506,Kazakhstan,KAZ,2020-04-22,112.398,7.37,1.0,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62507,Kazakhstan,KAZ,2020-04-23,120.506,8.107000000000001,1.0,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62508,Kazakhstan,KAZ,2020-04-24,130.666,10.161,1.3159999999999998,0.316,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62509,Kazakhstan,KAZ,2020-04-25,136.931,6.265,1.3159999999999998,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62510,Kazakhstan,KAZ,2020-04-26,143.03799999999998,6.107,1.3159999999999998,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62511,Kazakhstan,KAZ,2020-04-27,149.25,6.212000000000001,1.3159999999999998,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62512,Kazakhstan,KAZ,2020-04-28,159.358,10.107999999999999,1.3159999999999998,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62513,Kazakhstan,KAZ,2020-04-29,165.202,5.843999999999999,1.3159999999999998,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62514,Kazakhstan,KAZ,2020-04-30,179.1,13.898,1.3159999999999998,0.0,,,,,,92.13,18994958.0,30.6,24055.588,6.7,0.825
62515,Kazakhstan,KAZ,2020-05-01,189.36599999999999,10.265999999999998,1.3159999999999998,0.0,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62516,Kazakhstan,KAZ,2020-05-02,203.054,13.687999999999999,1.369,0.053,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62517,Kazakhstan,KAZ,2020-05-03,206.37099999999998,3.3169999999999997,1.421,0.053,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62518,Kazakhstan,KAZ,2020-05-04,213.162,6.791,1.527,0.105,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62519,Kazakhstan,KAZ,2020-05-05,221.375,8.213,1.527,0.0,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62520,Kazakhstan,KAZ,2020-05-06,232.799,11.424000000000001,1.579,0.053,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62521,Kazakhstan,KAZ,2020-05-07,241.011,8.213,1.579,0.0,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62522,Kazakhstan,KAZ,2020-05-08,254.489,13.477,1.632,0.053,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62523,Kazakhstan,KAZ,2020-05-09,261.91200000000003,7.422999999999999,1.632,0.0,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62524,Kazakhstan,KAZ,2020-05-10,267.966,6.053999999999999,1.632,0.0,,,,,,89.35,18994958.0,30.6,24055.588,6.7,0.825
62525,Kazakhstan,KAZ,2020-05-11,274.125,6.16,1.685,0.053,,,,,,81.94,18994958.0,30.6,24055.588,6.7,0.825
62526,Kazakhstan,KAZ,2020-05-12,277.916,3.79,1.685,0.0,,,,,,81.94,18994958.0,30.6,24055.588,6.7,0.825
62527,Kazakhstan,KAZ,2020-05-13,285.181,7.265,1.7369999999999999,0.053,,,,,,81.94,18994958.0,30.6,24055.588,6.7,0.825
62528,Kazakhstan,KAZ,2020-05-14,293.288,8.107000000000001,1.79,0.053,,,,,,81.94,18994958.0,30.6,24055.588,6.7,0.825
62529,Kazakhstan,KAZ,2020-05-15,299.501,6.212000000000001,1.79,0.0,,,,,,81.94,18994958.0,30.6,24055.588,6.7,0.825
62530,Kazakhstan,KAZ,2020-05-16,307.976,8.476,1.79,0.0,,,,,,81.94,18994958.0,30.6,24055.588,6.7,0.825
62531,Kazakhstan,KAZ,2020-05-17,324.139,16.162,1.79,0.0,,,,,,81.94,18994958.0,30.6,24055.588,6.7,0.825
62532,Kazakhstan,KAZ,2020-05-18,355.41,31.271,1.8430000000000002,0.053,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62533,Kazakhstan,KAZ,2020-05-19,355.41,0.0,1.8430000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62534,Kazakhstan,KAZ,2020-05-20,366.88699999999994,11.477,1.8430000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62535,Kazakhstan,KAZ,2020-05-21,380.838,13.950999999999999,1.8430000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62536,Kazakhstan,KAZ,2020-05-22,416.9,36.062,1.8430000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62537,Kazakhstan,KAZ,2020-05-23,416.9,0.0,1.8430000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62538,Kazakhstan,KAZ,2020-05-24,449.119,32.219,1.8430000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62539,Kazakhstan,KAZ,2020-05-25,472.17800000000005,23.059,1.8430000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62540,Kazakhstan,KAZ,2020-05-26,472.17800000000005,0.0,1.9480000000000002,0.105,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62541,Kazakhstan,KAZ,2020-05-27,489.814,17.636,1.9480000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62542,Kazakhstan,KAZ,2020-05-28,504.134,14.32,1.9480000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62543,Kazakhstan,KAZ,2020-05-29,522.876,18.742,1.9480000000000002,0.0,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62544,Kazakhstan,KAZ,2020-05-30,546.566,23.69,2.001,0.053,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62545,Kazakhstan,KAZ,2020-05-31,571.625,25.059,2.158,0.158,,,,,,83.8,18994958.0,30.6,24055.588,6.7,0.825
62546,Kazakhstan,KAZ,2020-06-01,595.316,23.69,2.158,0.0,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62547,Kazakhstan,KAZ,2020-06-02,609.1619999999999,13.845999999999998,2.316,0.158,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62548,Kazakhstan,KAZ,2020-06-03,635.274,26.112,2.5269999999999997,0.21100000000000002,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62549,Kazakhstan,KAZ,2020-06-04,635.274,0.0,2.5269999999999997,0.0,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62550,Kazakhstan,KAZ,2020-06-05,648.172,12.898,2.738,0.21100000000000002,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62551,Kazakhstan,KAZ,2020-06-06,658.648,10.475999999999999,2.843,0.105,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62552,Kazakhstan,KAZ,2020-06-07,668.283,9.634,2.948,0.105,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62553,Kazakhstan,KAZ,2020-06-08,676.9689999999999,8.687000000000001,3.053,0.105,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62554,Kazakhstan,KAZ,2020-06-09,688.288,11.319,3.2110000000000003,0.158,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62555,Kazakhstan,KAZ,2020-06-10,701.186,12.898,3.5269999999999997,0.316,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62556,Kazakhstan,KAZ,2020-06-11,730.299,29.113000000000003,3.5269999999999997,0.0,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
62557,Kazakhstan,KAZ,2020-06-12,730.299,0.0,3.685,0.158,,,,,,81.02,18994958.0,30.6,24055.588,6.7,0.825
